epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8681,1.71738,7.45034,1.53478,0.38275,0.25806,0.23039,0.11809,1.5804,6.59834,1.42275,0.00036,0.00036,0.00036
2,43.5452,1.52712,2.20108,1.28779,0.01117,0.55914,0.00786,0.00364,1.7265,99.2221,1.53398,0.000725348,0.000725348,0.000725348
3,54.6498,1.60129,1.60703,1.33247,0.00672,0.2043,0.00217,0.00092,2.57304,45.2589,2.79175,0.00107565,0.00107565,0.00107565
4,69.509,1.60381,1.45733,1.35437,0.00246,0.25806,0.0009,0.00031,nan,nan,nan,0.0014109,0.0014109,0.0014109
5,86.5494,1.71649,1.37678,1.40572,0.00086,0.04301,0.00017,5e-05,nan,nan,nan,0.0017311,0.0017311,0.0017311
6,98.0197,1.60663,1.23332,1.39207,0.10109,0.46237,0.0887,0.03996,1.78222,13.9103,1.89767,0.001802,0.001802,0.001802
7,113.898,1.62659,1.24466,1.38592,0.02968,0.62366,0.02511,0.01132,1.84645,52.1189,1.91573,0.0017624,0.0017624,0.0017624
8,124.01,1.60391,1.21182,1.35628,0.13346,0.6129,0.12153,0.05334,1.8382,11.1428,1.84572,0.0017228,0.0017228,0.0017228
9,136.845,1.58658,1.18754,1.31234,0.07823,0.55914,0.09108,0.03571,1.65359,19.5098,1.67741,0.0016832,0.0016832,0.0016832
10,150.637,1.53094,1.1117,1.3452,0.67409,0.56989,0.61524,0.30848,1.64468,3.45914,1.54953,0.0016436,0.0016436,0.0016436
11,161.812,1.53361,0.99491,1.33674,0.82042,0.67742,0.74933,0.38069,1.63812,1.55538,1.58584,0.001604,0.001604,0.001604
12,174.607,1.51095,1.05302,1.31261,0.89255,0.69892,0.80438,0.43423,1.5654,1.61848,1.59776,0.0015644,0.0015644,0.0015644
13,192.471,1.49934,0.99792,1.29373,0.86221,0.67742,0.77718,0.45108,1.55233,1.4487,1.53078,0.0015248,0.0015248,0.0015248
14,203.038,1.57176,1.09699,1.39543,0.71043,0.65591,0.60134,0.2954,1.65758,1.8335,1.53733,0.0014852,0.0014852,0.0014852
