epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1706,1.57097,3.52878,1.45468,0.00329,0.91398,0.33769,0.14527,1.50802,3.65622,1.3028,0.00036,0.00036,0.00036
2,25.1692,1.58744,2.37796,1.40304,0.80455,0.22141,0.53637,0.25543,1.58682,3.36055,1.23535,0.000725348,0.000725348,0.000725348
3,36.8136,1.6322,2.15452,1.33793,0.72157,0.13936,0.35056,0.16952,1.56866,3.30419,1.44662,0.00107565,0.00107565,0.00107565
4,50.0265,1.6463,2.07935,1.39106,0.37679,0.22581,0.3042,0.15081,1.52624,3.11201,1.37732,0.0014109,0.0014109,0.0014109
5,62.1815,1.68019,1.94994,1.42746,0.7483,0.47956,0.60406,0.28386,1.68186,2.89716,1.54463,0.0017311,0.0017311,0.0017311
6,71.9082,1.65666,1.90611,1.43285,0.72295,0.50538,0.56134,0.26457,1.89869,2.45795,1.72797,0.001802,0.001802,0.001802
7,83.0448,1.65851,1.85229,1.40677,0.38536,0.22581,0.19731,0.07575,2.106,3.99282,1.73179,0.0017624,0.0017624,0.0017624
8,95.6935,1.599,1.73605,1.40146,0.72378,0.6129,0.66602,0.29512,1.94965,3.46946,1.63868,0.0017228,0.0017228,0.0017228
9,106.068,1.61783,1.63963,1.35085,0.82533,0.55888,0.66402,0.3425,1.73532,2.6428,1.45871,0.0016832,0.0016832,0.0016832
10,116.582,1.58825,1.51406,1.40666,0.85452,0.76344,0.82216,0.42732,1.55608,1.86018,1.41309,0.0016436,0.0016436,0.0016436
11,127.909,1.59838,1.49599,1.36245,0.91791,0.72146,0.87073,0.41907,1.63237,1.67694,1.40563,0.001604,0.001604,0.001604
12,139.814,1.57184,1.46821,1.34352,0.83141,0.64516,0.79737,0.41185,1.6026,1.6176,1.38458,0.0015644,0.0015644,0.0015644
13,149.639,1.54507,1.38734,1.30623,0.80065,0.73417,0.81818,0.42472,1.59753,1.57296,1.38061,0.0015248,0.0015248,0.0015248
14,161.266,1.58966,1.38606,1.36809,0.93894,0.67742,0.79371,0.44253,1.53498,1.35362,1.30982,0.0014852,0.0014852,0.0014852
15,173.08,1.50714,1.35571,1.3074,0.80687,0.7637,0.84306,0.4526,1.51528,1.38722,1.33506,0.0014456,0.0014456,0.0014456
16,185.011,1.54722,1.31003,1.35337,0.73321,0.68817,0.74215,0.40281,1.57622,1.56788,1.37492,0.001406,0.001406,0.001406
17,194.92,1.5351,1.25618,1.30939,0.86068,0.73069,0.86724,0.42168,1.73911,1.16877,1.40535,0.0013664,0.0013664,0.0013664
18,207.343,1.55716,1.29197,1.32842,0.79753,0.8172,0.8822,0.46988,1.60373,1.16,1.36102,0.0013268,0.0013268,0.0013268
19,218.534,1.52159,1.22827,1.31187,0.82843,0.82796,0.90044,0.49538,1.55108,1.08461,1.39101,0.0012872,0.0012872,0.0012872
20,229.982,1.51114,1.28602,1.29783,0.85855,0.84847,0.89925,0.48312,1.52335,1.07781,1.36391,0.0012476,0.0012476,0.0012476
21,239.751,1.49671,1.15239,1.28999,0.8757,0.80645,0.8892,0.46407,1.57334,1.07343,1.35027,0.001208,0.001208,0.001208
22,251.428,1.47571,1.12884,1.26724,0.90529,0.82223,0.91154,0.51186,1.4995,0.95428,1.30254,0.0011684,0.0011684,0.0011684
23,263.108,1.46948,1.12373,1.27639,0.90261,0.8172,0.91042,0.47043,1.63723,1.11217,1.33324,0.0011288,0.0011288,0.0011288
24,275.402,1.50091,1.11781,1.28738,0.8502,0.86022,0.91586,0.50102,1.57217,1.01259,1.31647,0.0010892,0.0010892,0.0010892
25,284.529,1.44757,1.0794,1.2663,0.93866,0.82269,0.9038,0.50894,1.53629,0.93136,1.30978,0.0010496,0.0010496,0.0010496
26,296.354,1.47383,1.09474,1.25437,0.92193,0.82796,0.9057,0.50723,1.54357,0.95306,1.27989,0.00101,0.00101,0.00101
27,308.379,1.42068,1.06196,1.26415,0.9481,0.7858,0.91174,0.4902,1.59907,0.92225,1.3405,0.0009704,0.0009704,0.0009704
28,319.772,1.45806,1.08119,1.25875,0.92653,0.87097,0.93256,0.51953,1.54246,0.94143,1.29022,0.0009308,0.0009308,0.0009308
29,330.602,1.42426,1.01814,1.23225,0.91886,0.85238,0.93046,0.50898,1.51191,0.87468,1.28186,0.0008912,0.0008912,0.0008912
30,344.236,1.39873,1.04743,1.24846,0.92349,0.87097,0.9291,0.50673,1.55504,0.915,1.29281,0.0008516,0.0008516,0.0008516
31,355.144,1.41155,1.00064,1.24484,0.88091,0.89247,0.92927,0.53275,1.45191,0.86322,1.26674,0.000812,0.000812,0.000812
32,369.563,1.4612,1.0541,1.24063,0.95149,0.84357,0.91158,0.52549,1.47688,0.89753,1.26773,0.0007724,0.0007724,0.0007724
33,380.043,1.38557,1.00484,1.23729,0.92097,0.86022,0.931,0.53175,1.4735,0.87094,1.26057,0.0007328,0.0007328,0.0007328
34,391.648,1.38544,0.98666,1.22804,0.9431,0.83871,0.9304,0.5442,1.46865,0.83384,1.25807,0.0006932,0.0006932,0.0006932
35,404.385,1.3896,0.9476,1.22734,0.93669,0.87097,0.92562,0.54677,1.46941,0.86897,1.24588,0.0006536,0.0006536,0.0006536
36,417.262,1.36105,0.92806,1.2045,0.91542,0.88172,0.9286,0.52646,1.45929,0.84348,1.24665,0.000614,0.000614,0.000614
37,427.917,1.34122,0.92015,1.19937,0.94703,0.84946,0.91811,0.51746,1.52955,0.85766,1.27788,0.0005744,0.0005744,0.0005744
38,439.045,1.35821,0.93044,1.18436,0.96192,0.87097,0.91105,0.53535,1.48317,0.83465,1.27769,0.0005348,0.0005348,0.0005348
39,450.603,1.34791,0.93232,1.20673,0.96446,0.87554,0.93459,0.55957,1.40222,0.79088,1.22664,0.0004952,0.0004952,0.0004952
40,464.455,1.31043,0.93138,1.18782,0.94215,0.89247,0.93567,0.53914,1.42037,0.80077,1.24165,0.0004556,0.0004556,0.0004556
41,478.898,1.2939,0.90443,1.18934,0.87879,0.83871,0.90314,0.53131,1.41288,0.8801,1.24036,0.000416,0.000416,0.000416
42,489.657,1.27263,0.82809,1.17975,0.93956,0.82796,0.91153,0.50634,1.48184,0.85804,1.24991,0.0003764,0.0003764,0.0003764
43,499.942,1.26176,0.83236,1.1688,0.97559,0.85956,0.93834,0.5332,1.35334,0.77225,1.21142,0.0003368,0.0003368,0.0003368
