epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7397,1.49591,3.62786,1.33357,0.00349,0.96774,0.44419,0.19248,1.39902,3.73209,1.25604,0.000649123,0.000649123,0.000649123
2,70.0044,1.52265,2.64301,1.31585,0.68135,0.54839,0.58291,0.30685,1.54164,3.4196,1.38111,0.00128974,0.00128974,0.00128974
3,85.9992,1.60543,2.62932,1.36603,0.53993,0.36597,0.41921,0.18442,1.78848,3.61843,1.58528,0.00190395,0.00190395,0.00190395
4,101.564,1.63282,2.40921,1.39212,0.73833,0.51613,0.60771,0.32716,1.57321,2.699,1.45506,0.0018812,0.0018812,0.0018812
5,118.183,1.5925,2.24375,1.34461,0.52172,0.52688,0.51418,0.26358,1.63078,2.71416,1.42073,0.0018416,0.0018416,0.0018416
6,133.848,1.56566,1.96807,1.33011,0.76272,0.58065,0.64721,0.33152,1.66631,2.18301,1.52239,0.001802,0.001802,0.001802
7,150.151,1.55587,1.88215,1.28911,0.67116,0.63645,0.69883,0.39184,1.62275,1.96016,1.44834,0.0017624,0.0017624,0.0017624
8,166.231,1.51919,1.76357,1.30898,0.80904,0.7289,0.77124,0.41097,1.62736,1.56898,1.48932,0.0017228,0.0017228,0.0017228
9,182.279,1.46915,1.6126,1.28997,0.75488,0.73118,0.76897,0.42632,1.46841,2.02751,1.36299,0.0016832,0.0016832,0.0016832
10,198.168,1.43478,1.43992,1.27171,0.80702,0.78495,0.86488,0.46356,1.42153,1.43873,1.3346,0.0016436,0.0016436,0.0016436
11,214.172,1.47493,1.4389,1.24714,0.8219,0.84359,0.86316,0.44349,1.48669,1.28244,1.39112,0.001604,0.001604,0.001604
12,229.734,1.50197,1.47134,1.30154,0.88059,0.71372,0.83854,0.42563,1.57498,1.30219,1.41504,0.0015644,0.0015644,0.0015644
13,244.972,1.48214,1.40213,1.26666,0.92033,0.78495,0.8656,0.51029,1.39476,1.14424,1.2473,0.0015248,0.0015248,0.0015248
14,261.64,1.43597,1.31834,1.27709,0.83309,0.8172,0.8837,0.50064,1.34333,1.12872,1.26115,0.0014852,0.0014852,0.0014852
15,277.15,1.38525,1.18388,1.25047,0.91577,0.8183,0.89836,0.49151,1.51665,1.11347,1.28022,0.0014456,0.0014456,0.0014456
16,292.744,1.42345,1.17041,1.21738,0.90177,0.75269,0.8915,0.48588,1.41885,1.2167,1.25536,0.001406,0.001406,0.001406
17,308.225,1.40069,1.15456,1.22412,0.90186,0.79052,0.88817,0.48761,1.39831,1.01614,1.24048,0.0013664,0.0013664,0.0013664
18,323.653,1.40415,1.10727,1.22387,0.90469,0.76344,0.8678,0.51724,1.38424,1.07802,1.26673,0.0013268,0.0013268,0.0013268
19,339.886,1.34962,1.05507,1.21591,0.95723,0.82796,0.90669,0.49307,1.45414,0.94172,1.33522,0.0012872,0.0012872,0.0012872
20,355.13,1.41493,1.08661,1.255,0.88897,0.83871,0.91267,0.5307,1.39702,0.92297,1.28459,0.0012476,0.0012476,0.0012476
21,371.733,1.32716,1.08194,1.21799,0.90184,0.79035,0.88953,0.50659,1.3525,0.95443,1.26036,0.001208,0.001208,0.001208
22,386.951,1.33333,1.00946,1.21769,0.88108,0.80645,0.87765,0.51491,1.36035,1.00827,1.23746,0.0011684,0.0011684,0.0011684
23,402.664,1.30558,0.99296,1.1799,0.98566,0.73931,0.87549,0.47256,1.46794,1.05534,1.2744,0.0011288,0.0011288,0.0011288
24,417.958,1.36288,1.04006,1.21631,0.98683,0.80575,0.91044,0.50514,1.35849,1.05584,1.24547,0.0010892,0.0010892,0.0010892
25,433.302,1.28383,0.96943,1.18296,0.88773,0.85025,0.911,0.55717,1.29975,0.92934,1.2448,0.0010496,0.0010496,0.0010496
26,448.865,1.32604,0.94563,1.19476,0.92469,0.88172,0.91999,0.52765,1.37882,0.92285,1.23215,0.00101,0.00101,0.00101
27,464.586,1.25854,0.96123,1.15971,0.94704,0.8172,0.91775,0.57167,1.28108,0.86702,1.22994,0.0009704,0.0009704,0.0009704
28,480.48,1.26398,0.92852,1.18099,0.91391,0.91398,0.93559,0.57918,1.27623,0.82231,1.23048,0.0009308,0.0009308,0.0009308
29,496.026,1.27975,0.85884,1.19716,0.9045,0.91664,0.92086,0.5575,1.32091,0.83067,1.22272,0.0008912,0.0008912,0.0008912
30,511.274,1.22075,0.8531,1.16738,0.96163,0.8172,0.90691,0.54129,1.32825,0.912,1.23089,0.0008516,0.0008516,0.0008516
31,526.929,1.19787,0.82522,1.14489,0.95098,0.83451,0.91915,0.54872,1.34901,0.88104,1.21676,0.000812,0.000812,0.000812
32,542.398,1.24187,0.81843,1.13266,0.90039,0.87479,0.92291,0.55409,1.30357,0.79329,1.18645,0.0007724,0.0007724,0.0007724
33,557.735,1.24062,0.82995,1.19689,0.90414,0.84946,0.9211,0.55068,1.34632,0.80865,1.21291,0.0007328,0.0007328,0.0007328
34,573.459,1.21153,0.80678,1.14682,0.90818,0.86022,0.89543,0.52688,1.33652,0.83349,1.23743,0.0006932,0.0006932,0.0006932
35,588.679,1.22901,0.80564,1.16814,0.92451,0.86022,0.916,0.54016,1.34777,0.86966,1.2451,0.0006536,0.0006536,0.0006536
36,604.05,1.23516,0.81522,1.15484,0.93138,0.87572,0.91937,0.56224,1.31074,0.861,1.25726,0.000614,0.000614,0.000614
37,619.671,1.17607,0.77658,1.12895,0.85261,0.87097,0.89828,0.57032,1.32892,0.86347,1.23232,0.0005744,0.0005744,0.0005744
38,635.396,1.15044,0.77245,1.1248,0.93998,0.842,0.92428,0.5677,1.3026,0.82557,1.22969,0.0005348,0.0005348,0.0005348
39,650.57,1.17967,0.76828,1.13314,0.90751,0.89247,0.92075,0.56337,1.29901,0.83247,1.21521,0.0004952,0.0004952,0.0004952
40,665.956,1.12391,0.71919,1.10393,0.91931,0.90323,0.9245,0.5629,1.25636,0.79335,1.19163,0.0004556,0.0004556,0.0004556
41,684.87,1.12263,0.7447,1.11266,0.96389,0.86104,0.93262,0.55927,1.29859,0.76388,1.22328,0.000416,0.000416,0.000416
42,699.745,1.14244,0.74693,1.13087,0.97586,0.86926,0.92196,0.5502,1.30707,0.77656,1.2255,0.0003764,0.0003764,0.0003764
43,714.357,1.11147,0.70581,1.09835,0.95601,0.87097,0.93124,0.54245,1.3026,0.81072,1.23527,0.0003368,0.0003368,0.0003368
44,729.176,1.09528,0.70837,1.09952,0.96422,0.86933,0.93187,0.56231,1.31328,0.75098,1.2391,0.0002972,0.0002972,0.0002972
45,743.938,1.07838,0.69644,1.1049,0.94021,0.89247,0.93006,0.58349,1.28951,0.76028,1.23885,0.0002576,0.0002576,0.0002576
46,759.682,1.07291,0.68658,1.09387,0.96108,0.90323,0.93303,0.57454,1.29264,0.75937,1.22622,0.000218,0.000218,0.000218
47,774.818,1.0906,0.66196,1.09642,0.95033,0.93548,0.93573,0.57482,1.2995,0.76219,1.25664,0.0001784,0.0001784,0.0001784
48,789.41,1.04375,0.63714,1.07859,0.98334,0.89247,0.93731,0.57168,1.30072,0.74952,1.24092,0.0001388,0.0001388,0.0001388
