epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7319,1.52214,3.59216,1.37231,0.00341,0.94624,0.34292,0.1907,1.29705,3.50145,1.17708,0.00036,0.00036,0.00036
2,24.49,1.459,2.2424,1.28344,0.00341,0.94624,0.24796,0.1262,1.32358,3.50567,1.24072,0.000739271,0.000739271,0.000739271
3,34.1032,1.48601,1.9786,1.28605,0.10448,0.15054,0.03673,0.01537,1.49263,3.64608,1.55966,0.00111559,0.00111559,0.00111559
4,45.3271,1.52058,1.92022,1.28965,0.49314,0.2043,0.2671,0.11981,1.6503,3.17927,1.52483,0.00148673,0.00148673,0.00148673
5,56.937,1.5554,1.85282,1.34135,0.55691,0.47312,0.49565,0.21655,1.7064,2.61132,1.63949,0.0018505,0.0018505,0.0018505
6,67.7949,1.55434,1.78207,1.34301,0.43426,0.49462,0.40053,0.17917,1.85673,2.71998,1.60947,0.00195111,0.00195111,0.00195111
7,77.3209,1.53772,1.66782,1.34642,0.26554,0.48597,0.26289,0.13075,1.70499,2.58843,1.53812,0.00192985,0.00192985,0.00192985
8,88.8415,1.50004,1.56879,1.32329,0.43136,0.49462,0.44227,0.21104,1.66338,2.37424,1.6032,0.00190492,0.00190492,0.00190492
9,98.7759,1.4817,1.45424,1.28907,0.86997,0.5756,0.73347,0.33658,1.58405,1.72141,1.5114,0.00187643,0.00187643,0.00187643
10,108.44,1.45964,1.35189,1.28098,0.72801,0.76344,0.81179,0.34843,1.66725,1.59983,1.47419,0.00184448,0.00184448,0.00184448
11,119.435,1.51572,1.30368,1.29308,0.75182,0.72043,0.77851,0.38811,1.56144,1.42793,1.3983,0.00180921,0.00180921,0.00180921
12,133.53,1.46719,1.29576,1.26587,0.81757,0.72043,0.82366,0.40092,1.59726,1.49306,1.4337,0.00177074,0.00177074,0.00177074
13,145.567,1.46425,1.23582,1.23813,0.51878,0.72043,0.57426,0.29993,1.68674,1.60601,1.46859,0.00172924,0.00172924,0.00172924
