epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6787,1.52214,3.59216,1.37231,0.00341,0.94624,0.34292,0.1907,1.29705,3.50145,1.17708,0.00036,0.00036,0.00036
2,70.8921,1.45529,2.24199,1.28234,0.00621,0.82796,0.33532,0.17726,1.31273,3.43947,1.24537,0.000725348,0.000725348,0.000725348
3,84.8501,1.50717,2.0081,1.3158,0.4575,0.15054,0.20054,0.07739,1.51843,3.49483,1.44141,0.00107565,0.00107565,0.00107565
4,99.2939,1.53205,1.92925,1.27496,0.31473,0.23215,0.18804,0.07927,1.62539,3.74473,1.588,0.0014109,0.0014109,0.0014109
5,110.689,1.58219,1.82875,1.30943,0.19005,0.30108,0.14501,0.06086,1.75747,3.49476,1.53724,0.0017311,0.0017311,0.0017311
6,125.892,1.53938,1.75452,1.29238,0.28651,0.36271,0.22174,0.1192,1.58456,4.45894,1.45491,0.001802,0.001802,0.001802
7,140.087,1.51399,1.67189,1.31169,0.68171,0.60215,0.64172,0.35429,1.5372,1.95566,1.36199,0.0017624,0.0017624,0.0017624
8,155.475,1.4908,1.59695,1.2799,0.82389,0.58065,0.73394,0.38572,1.62159,1.67635,1.45185,0.0017228,0.0017228,0.0017228
9,166.114,1.50842,1.43291,1.27391,0.8662,0.62366,0.78945,0.38764,1.63904,1.87365,1.61444,0.0016832,0.0016832,0.0016832
10,177.535,1.4276,1.34604,1.26173,0.86266,0.67541,0.80842,0.39601,1.5664,1.44559,1.45591,0.0016436,0.0016436,0.0016436
11,188.503,1.47723,1.31027,1.26344,0.84036,0.70968,0.81222,0.46455,1.51651,1.46162,1.41551,0.001604,0.001604,0.001604
12,200.054,1.46995,1.30106,1.25619,0.72162,0.75257,0.75644,0.36838,1.57225,1.54929,1.41551,0.0015644,0.0015644,0.0015644
13,213.043,1.44637,1.28793,1.23285,0.79997,0.77404,0.83104,0.47371,1.47309,1.28892,1.35982,0.0015248,0.0015248,0.0015248
14,223.3,1.50169,1.3251,1.30912,0.63767,0.66667,0.64147,0.33193,1.52964,1.58567,1.45004,0.0014852,0.0014852,0.0014852
15,234.068,1.38701,1.15373,1.20967,0.81604,0.66777,0.73074,0.39624,1.4942,1.39523,1.34371,0.0014456,0.0014456,0.0014456
16,245.193,1.41984,1.12893,1.23391,0.91068,0.72043,0.8295,0.46033,1.44955,1.76918,1.40996,0.001406,0.001406,0.001406
17,255.954,1.36749,1.06115,1.20205,0.8307,0.76344,0.82518,0.45078,1.46475,1.22819,1.28808,0.0013664,0.0013664,0.0013664
18,265.311,1.34228,1.0508,1.19771,0.87675,0.78495,0.88602,0.46863,1.47035,1.01104,1.36622,0.0013268,0.0013268,0.0013268
19,277.055,1.36145,0.99708,1.18339,0.91798,0.72043,0.85589,0.47192,1.50648,1.08697,1.30551,0.0012872,0.0012872,0.0012872
20,288.095,1.32759,0.98482,1.20468,0.9001,0.82796,0.89273,0.5107,1.41088,1.00588,1.30573,0.0012476,0.0012476,0.0012476
21,297.23,1.37001,0.99452,1.23104,0.94465,0.73405,0.86444,0.45919,1.57614,1.06845,1.36538,0.001208,0.001208,0.001208
22,309.073,1.38102,0.99143,1.22468,0.90197,0.80645,0.90898,0.50038,1.44998,0.96051,1.32443,0.0011684,0.0011684,0.0011684
23,319.542,1.33266,0.949,1.19233,0.92615,0.76344,0.88069,0.50067,1.39238,1.02416,1.3111,0.0011288,0.0011288,0.0011288
24,328.158,1.32999,0.9208,1.19037,0.91939,0.85848,0.90881,0.53667,1.39698,0.90264,1.30179,0.0010892,0.0010892,0.0010892
25,340.642,1.25698,0.89418,1.13291,0.9149,0.82796,0.9008,0.53366,1.36866,0.90994,1.30987,0.0010496,0.0010496,0.0010496
26,351.613,1.25846,0.90651,1.12998,0.87367,0.81802,0.88975,0.50269,1.37477,0.92656,1.26431,0.00101,0.00101,0.00101
27,361.301,1.25146,0.87745,1.15246,0.89291,0.80691,0.86318,0.49302,1.3326,1.14716,1.25563,0.0009704,0.0009704,0.0009704
28,371.229,1.26702,0.88025,1.1551,0.78287,0.80645,0.86418,0.45666,1.37474,1.07853,1.32246,0.0009308,0.0009308,0.0009308
29,382.116,1.26523,0.83918,1.13629,0.89125,0.80645,0.89258,0.5317,1.35067,0.87952,1.27366,0.0008912,0.0008912,0.0008912
30,392.335,1.29197,0.83455,1.14181,0.87578,0.83871,0.91261,0.52615,1.3532,0.89651,1.29222,0.0008516,0.0008516,0.0008516
31,402.406,1.15409,0.79673,1.10816,0.89302,0.83871,0.90418,0.52107,1.41187,0.84666,1.32117,0.000812,0.000812,0.000812
32,412.936,1.25123,0.83527,1.13076,0.87898,0.85908,0.90189,0.52829,1.3667,0.93542,1.30335,0.0007724,0.0007724,0.0007724
33,422.873,1.21559,0.82989,1.14375,0.88052,0.87164,0.9134,0.52706,1.39269,0.86895,1.28767,0.0007328,0.0007328,0.0007328
