epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1962,4.27386,5.20806,4.25218,0.00021,0.05376,2e-05,0,4.59879,5.1937,4.16219,0.00036,0.00036,0.00036
2,27.1283,4.04228,4.82232,4.05892,0.00021,0.05376,2e-05,0,4.60551,5.21817,4.1711,0.000739818,0.000739818,0.000739818
3,40.1227,3.69459,4.3693,3.70707,0.00017,0.04301,1e-05,0,4.67406,5.33899,4.22502,0.0011189,0.0011189,0.0011189
4,51.332,3.34146,3.88466,3.45425,0.00018,0.04301,1e-05,0,4.55759,5.13018,4.09675,0.00149667,0.00149667,0.00149667
5,63.3516,3.10191,3.60579,3.19093,0.00074,0.2043,0.03283,0.01518,3.64497,5.35422,4.46482,0.0018726,0.0018726,0.0018726
6,75.573,2.99334,3.35784,3.08532,0.3037,0.16129,0.11292,0.03073,3.7732,3.95548,4.1338,0.0019877,0.0019877,0.0019877
7,89.8849,2.98235,3.11361,2.93741,0.14598,0.16129,0.05794,0.01493,3.0299,4.22964,3.48141,0.0019823,0.0019823,0.0019823
8,101.522,2.81361,3.00969,2.84649,0.10951,0.2043,0.06742,0.01888,2.97394,2.77099,3.0099,0.00197594,0.00197594,0.00197594
9,114.642,2.79487,2.82525,2.7341,0.27934,0.2043,0.18915,0.0598,2.73821,5.21426,3.32855,0.00196861,0.00196861,0.00196861
10,125.508,2.67707,2.69099,2.68941,0.16933,0.23656,0.14805,0.04357,2.8514,7.48893,2.92717,0.00196033,0.00196033,0.00196033
11,137.89,2.66437,2.60332,2.66023,0.18881,0.2043,0.15275,0.04218,2.90168,4.97376,2.85252,0.00195111,0.00195111,0.00195111
12,151.02,2.60284,2.55838,2.61652,0.21141,0.13978,0.12785,0.02902,2.78942,3.97718,2.78776,0.00194094,0.00194094,0.00194094
13,164.213,2.5407,2.39795,2.50574,0.51483,0.34409,0.3708,0.12266,2.51044,2.05636,2.57242,0.00192985,0.00192985,0.00192985
14,175.56,2.4663,2.35524,2.49972,0.25605,0.34409,0.26931,0.0827,2.47845,2.24882,2.50531,0.00191784,0.00191784,0.00191784
15,189.689,2.46774,2.29836,2.49158,0.18185,0.12903,0.09271,0.03285,2.64544,2.72712,2.67476,0.00190492,0.00190492,0.00190492
16,200.404,2.46658,2.19832,2.51277,0.12895,0.16557,0.06973,0.02011,2.57551,2.72626,2.70249,0.00189112,0.00189112,0.00189112
17,212.09,2.37627,2.18349,2.46127,0.3223,0.27957,0.1907,0.05243,2.51547,2.49599,2.55509,0.00187643,0.00187643,0.00187643
18,225.969,2.31795,2.12808,2.36641,0.48961,0.41935,0.36948,0.12839,2.43212,2.24655,2.48742,0.00186088,0.00186088,0.00186088
19,238.796,2.3268,1.99807,2.40274,0.31725,0.34409,0.32222,0.0952,2.39227,2.13575,2.50867,0.00184448,0.00184448,0.00184448
20,252.045,2.31533,2.08281,2.33851,0.63307,0.57514,0.605,0.22641,2.3674,1.6652,2.41163,0.00182725,0.00182725,0.00182725
21,265.537,2.23085,1.88174,2.28061,0.59235,0.51563,0.54603,0.23118,2.16291,2.40244,2.33831,0.00180921,0.00180921,0.00180921
22,276.611,2.18125,1.83763,2.22379,0.56739,0.46542,0.47344,0.18356,2.40795,2.05274,2.39965,0.00179036,0.00179036,0.00179036
23,288.995,2.18815,1.8583,2.24525,0.48979,0.32258,0.29772,0.11124,2.4658,2.69687,2.53417,0.00177074,0.00177074,0.00177074
24,302.916,2.16826,1.8504,2.23994,0.65793,0.5998,0.61725,0.26921,2.12432,1.83132,2.33591,0.00175036,0.00175036,0.00175036
25,313.978,2.1414,1.79532,2.19935,0.45969,0.62208,0.55793,0.23719,2.14027,1.77609,2.31464,0.00172924,0.00172924,0.00172924
26,327.708,2.10708,1.81676,2.17399,0.53992,0.5914,0.54588,0.23552,2.09151,1.78262,2.22275,0.0017074,0.0017074,0.0017074
27,339.021,2.03731,1.685,2.11377,0.71172,0.51613,0.6293,0.22548,2.23687,1.67876,2.33315,0.00168486,0.00168486,0.00168486
