epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8851,4.28581,5.18787,4.29496,0.00021,0.05376,2e-05,0,4.59991,5.1928,4.16393,0.00036,0.00036,0.00036
2,28.6512,3.98846,4.59032,4.06797,0.00021,0.05376,2e-05,0,4.63706,5.25733,4.19732,0.000739818,0.000739818,0.000739818
3,40.386,3.57544,3.88747,3.69984,0.00019,0.04301,1e-05,0,4.59572,5.28026,4.13049,0.0011189,0.0011189,0.0011189
4,61.6649,3.29932,3.46842,3.46157,0.00021,0.04301,2e-05,0,4.74225,4.21482,4.28163,0.00149667,0.00149667,0.00149667
5,77.6356,3.074,3.19854,3.19022,0.00105,0.29032,0.02465,0.00841,3.7551,3.88775,5.36093,0.0018726,0.0018726,0.0018726
6,94.0168,2.90317,3.02113,3.08611,0.20975,0.16129,0.0661,0.01568,3.26525,2.80221,3.41241,0.0019877,0.0019877,0.0019877
7,105.552,2.95592,2.88223,3.0138,0.00733,0.1828,0.0038,0.00105,3.35023,11.8928,5.13825,0.0019823,0.0019823,0.0019823
8,124.751,2.79516,2.70858,2.86084,0.14164,0.20584,0.0601,0.01366,2.9851,3.32779,3.73846,0.00197594,0.00197594,0.00197594
9,135.725,2.74711,2.5629,2.7594,0.13528,0.11828,0.07357,0.01897,2.75403,3.52713,2.88352,0.00196861,0.00196861,0.00196861
10,149.86,2.66123,2.47932,2.7624,0.17869,0.35484,0.1336,0.0365,2.78544,3.68956,3.03193,0.00196033,0.00196033,0.00196033
11,170.397,2.67059,2.406,2.71078,0.29211,0.31183,0.19772,0.05368,2.6243,2.30244,2.71731,0.00195111,0.00195111,0.00195111
12,191.622,2.69588,2.46442,2.72276,0.21573,0.22581,0.09902,0.03189,2.89992,2.63498,2.98161,0.00194094,0.00194094,0.00194094
13,205.98,2.65446,2.33833,2.63349,0.21038,0.44118,0.16187,0.04158,2.81171,2.82232,3.03929,0.00192985,0.00192985,0.00192985
14,220.879,2.62032,2.2741,2.65155,0.13232,0.17204,0.06377,0.01649,2.84235,2.83156,2.75838,0.00191784,0.00191784,0.00191784
15,235.162,2.55196,2.30786,2.60794,0.25432,0.27957,0.16725,0.04259,2.70223,2.37151,2.69195,0.00190492,0.00190492,0.00190492
16,250.181,2.55205,2.28122,2.61437,0.17979,0.24731,0.10302,0.03055,2.77809,2.56516,2.81559,0.00189112,0.00189112,0.00189112
17,264.75,2.56462,2.22301,2.61877,0.2695,0.33333,0.25636,0.08369,2.61189,2.143,2.71932,0.00187643,0.00187643,0.00187643
18,276.473,2.49859,2.1336,2.5326,0.33774,0.16456,0.17451,0.04148,2.73045,2.82895,2.73911,0.00186088,0.00186088,0.00186088
19,295.542,2.40408,2.08251,2.52549,0.2632,0.37634,0.27792,0.09905,2.51254,2.00453,2.59444,0.00184448,0.00184448,0.00184448
20,307.128,2.41653,2.05627,2.47476,0.45368,0.5914,0.45152,0.14831,2.45393,1.90211,2.50221,0.00182725,0.00182725,0.00182725
21,328.296,2.38435,1.91761,2.44819,0.36468,0.48387,0.37537,0.11222,2.49858,1.96731,2.55099,0.00180921,0.00180921,0.00180921
22,339.702,2.33677,1.82173,2.37769,0.52362,0.46237,0.50026,0.13576,2.42619,1.85956,2.49637,0.00179036,0.00179036,0.00179036
23,358.459,2.3132,1.89089,2.36462,0.52676,0.55914,0.55325,0.18939,2.35226,1.80663,2.47662,0.00177074,0.00177074,0.00177074
24,375.268,2.28267,1.7881,2.36902,0.37652,0.53763,0.3861,0.1661,2.23989,1.86592,2.38889,0.00175036,0.00175036,0.00175036
25,388.534,2.21889,1.77543,2.2907,0.39984,0.58065,0.42945,0.12596,2.42678,1.95925,2.49477,0.00172924,0.00172924,0.00172924
26,403.037,2.23519,1.77059,2.32064,0.4369,0.50538,0.44499,0.16467,2.27013,1.86822,2.36004,0.0017074,0.0017074,0.0017074
27,417.327,2.15832,1.69522,2.26825,0.62015,0.5914,0.58397,0.19464,2.40164,1.77871,2.48623,0.00168486,0.00168486,0.00168486
