epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0966,1.63845,7.10589,1.54905,0.06367,0.48387,0.04471,0.02102,1.69974,10.0095,1.42706,0.000389474,0.000389474,0.000389474
2,59.9046,1.71839,2.31712,1.46612,0.02432,0.63441,0.02036,0.00729,2.1949,27.6288,2.09313,0.000788696,0.000788696,0.000788696
3,79.8944,1.8515,1.98138,1.63387,0.17462,0.32258,0.17472,0.07228,1.99396,10.7687,2.17932,0.00118479,0.00118479,0.00118479
4,102.673,1.97707,1.95517,1.70171,0.48517,0.35484,0.37668,0.14827,2.1038,14.9436,2.05956,0.00157541,0.00157541,0.00157541
5,125.051,1.91758,1.92108,1.66263,0.17385,0.30108,0.13517,0.05309,2.37703,4.92658,2.04716,0.00195825,0.00195825,0.00195825
6,144.195,1.79511,1.68208,1.58257,0.2513,0.1828,0.13684,0.05695,2.4487,3.48655,2.28146,0.00195111,0.00195111,0.00195111
7,165.315,1.81711,1.63231,1.61989,0.30537,0.1466,0.09863,0.04502,nan,nan,nan,0.00192985,0.00192985,0.00192985
8,185.541,1.77355,1.50859,1.58285,0.21715,0.22581,0.1257,0.05465,2.29138,5.27793,2.06035,0.00190492,0.00190492,0.00190492
9,206.306,1.82673,1.53723,1.60975,0.74798,0.45161,0.49909,0.219,nan,nan,nan,0.00187643,0.00187643,0.00187643
10,229.49,1.79892,1.55816,1.57648,0.53139,0.48387,0.46574,0.24447,nan,nan,nan,0.00184448,0.00184448,0.00184448
11,250.497,1.79646,1.50641,1.58998,0.62266,0.60329,0.65041,0.2835,1.95903,2.0443,1.69663,0.00180921,0.00180921,0.00180921
12,273.957,1.69471,1.49854,1.55521,0.8373,0.67742,0.7691,0.35556,1.71377,2.12272,1.47908,0.00177074,0.00177074,0.00177074
13,296.081,1.74076,1.42868,1.55052,0.65768,0.6129,0.62288,0.2882,1.82361,2.44363,1.62971,0.00172924,0.00172924,0.00172924
14,315.029,1.7038,1.4662,1.55694,0.73261,0.64818,0.75099,0.36549,nan,nan,nan,0.00168486,0.00168486,0.00168486
15,337.973,1.66829,1.39373,1.51292,0.85967,0.72043,0.85645,0.42158,1.66535,1.48789,1.46423,0.00163779,0.00163779,0.00163779
16,359.581,1.69881,1.35378,1.49524,0.93542,0.74194,0.83529,0.3869,1.85772,1.28029,1.58758,0.0015882,0.0015882,0.0015882
17,380.587,1.6942,1.40095,1.52702,0.94086,0.68426,0.83292,0.35607,1.88345,1.4797,1.59883,0.00153629,0.00153629,0.00153629
18,400.919,1.69624,1.38895,1.5468,0.88123,0.75269,0.86452,0.40848,1.76339,1.33945,1.46929,0.00148227,0.00148227,0.00148227
19,420.087,1.67411,1.3092,1.45532,0.73568,0.8172,0.82159,0.45229,1.53528,1.34091,1.41327,0.00142635,0.00142635,0.00142635
20,441.91,1.63733,1.36251,1.49961,0.8887,0.77275,0.8771,0.41517,1.81745,1.22168,1.52484,0.00136876,0.00136876,0.00136876
21,462.886,1.64222,1.35257,1.48402,0.8719,0.72043,0.78387,0.37813,nan,nan,nan,0.00130971,0.00130971,0.00130971
22,482.358,1.66072,1.28025,1.51203,0.92155,0.77419,0.8618,0.45797,1.5289,1.06191,1.34579,0.00124944,0.00124944,0.00124944
